exchange,market,date_kst,candle_date_time_kst,candle_date_time_utc,opening_price,high_price,low_price,trade_price,candle_acc_trade_volume,candle_acc_trade_price,timestamp
bithumb,KRW-USDC,2025-07-31,2025-07-31T00:00:00,2025-07-30T15:00:00,1381,1398,1377,1387,16538375.96356342,22882490555.704,1753973999743
bithumb,KRW-USDC,2025-08-01,2025-08-01T00:00:00,2025-07-31T15:00:00,1387,1400,1382,1387,5995554.07030653,8344177043.251486,1754060399588
bithumb,KRW-USDC,2025-08-02,2025-08-02T00:00:00,2025-08-01T15:00:00,1386,1404,1385,1404,2878804.71481597,4018158504.349621,1754146799351
bithumb,KRW-USDC,2025-08-03,2025-08-03T00:00:00,2025-08-02T15:00:00,1403,1411,1396,1400,2425761.94945411,3400656584.7692018,1754233199370
bithumb,KRW-USDC,2025-08-04,2025-08-04T00:00:00,2025-08-03T15:00:00,1399,1405,1393,1395,1624123.88247464,2271004540.291202,1754319599360
bithumb,KRW-USDC,2025-08-05,2025-08-05T00:00:00,2025-08-04T15:00:00,1395,1402,1392,1402,1675915.66764062,2339541694.0826173,1754405892813
bithumb,KRW-USDC,2025-08-06,2025-08-06T00:00:00,2025-08-05T15:00:00,1401,1405,1395,1396,1522512.17181995,2131175570.0072784,1754492399191
bithumb,KRW-USDC,2025-08-07,2025-08-07T00:00:00,2025-08-06T15:00:00,1395,1396,1382,1385,1938599.58262189,2696485510.7368364,1754578798812
bithumb,KRW-USDC,2025-08-08,2025-08-08T00:00:00,2025-08-07T15:00:00,1385,1388,1373,1379,4642514.81828814,6395522700.8454895,1754665199863
bithumb,KRW-USDC,2025-08-09,2025-08-09T00:00:00,2025-08-08T15:00:00,1378,1381,1370,1374,3831459.71489922,5264571817.07402,1754751599920
bithumb,KRW-USDC,2025-08-10,2025-08-10T00:00:00,2025-08-09T15:00:00,1374,1380,1370,1371,3967398.28725696,5451346019.581568,1754837999998
bithumb,KRW-USDC,2025-08-11,2025-08-11T00:00:00,2025-08-10T15:00:00,1371,1377,1365,1375,3825788.24924474,5244917099.437188,1754924399980
bithumb,KRW-USDC,2025-08-12,2025-08-12T00:00:00,2025-08-11T15:00:00,1375,1383,1371,1378,3838760.03757019,5291789704.7545395,1755010799354
bithumb,KRW-USDC,2025-08-13,2025-08-13T00:00:00,2025-08-12T15:00:00,1377,1378,1362,1366,4812990.86608293,6584412682.405381,1755097199652
