exchange,market,date_kst,candle_date_time_kst,candle_date_time_utc,opening_price,high_price,low_price,trade_price,candle_acc_trade_volume,candle_acc_trade_price,timestamp
upbit,KRW-USDC,2025-01-01,2025-01-01T09:00:00,2025-01-01T00:00:00,1492.0,1504.0,1490.0,1495.0,785897.70381833,1177011379.5318444,1735775942870
upbit,KRW-USDC,2025-01-02,2025-01-02T09:00:00,2025-01-02T00:00:00,1495.0,1501.0,1480.0,1486.0,1385641.73309397,2063825558.979118,1735862399980
upbit,KRW-USDC,2025-01-03,2025-01-03T09:00:00,2025-01-03T00:00:00,1485.0,1488.0,1473.0,1475.0,2563983.37286769,3791706890.357753,1735948797996
upbit,KRW-USDC,2025-01-04,2025-01-04T09:00:00,2025-01-04T00:00:00,1474.0,1481.0,1472.0,1474.0,1596160.54450715,2356053628.3615403,1736035197127
upbit,KRW-USDC,2025-01-05,2025-01-05T09:00:00,2025-01-05T00:00:00,1474.0,1478.0,1471.0,1473.0,1890277.89282174,2786136132.2347364,1736121551927
upbit,KRW-USDC,2025-01-06,2025-01-06T09:00:00,2025-01-06T00:00:00,1472.0,1478.0,1461.0,1469.0,2044832.42331902,3006612359.867907,1736207987816
upbit,KRW-USDC,2025-01-07,2025-01-07T09:00:00,2025-01-07T00:00:00,1469.0,1500.0,1460.0,1495.0,3377003.30467274,4998051397.413326,1736294399864
upbit,KRW-USDC,2025-01-08,2025-01-08T09:00:00,2025-01-08T00:00:00,1496.0,1521.0,1483.0,1500.0,2762658.43501708,4132368705.4891315,1736380797121
upbit,KRW-USDC,2025-01-09,2025-01-09T09:00:00,2025-01-09T00:00:00,1498.0,1530.0,1491.0,1513.0,2089969.43889645,3142825119.4059715,1736467196005
upbit,KRW-USDC,2025-01-10,2025-01-10T09:00:00,2025-01-10T00:00:00,1514.0,1520.0,1499.0,1506.0,1569323.96399578,2370115138.4305844,1736553509251
upbit,KRW-USDC,2025-01-11,2025-01-11T09:00:00,2025-01-11T00:00:00,1506.0,1511.0,1494.0,1497.0,830336.43569642,1248208927.2970643,1736640000013
upbit,KRW-USDC,2025-01-12,2025-01-12T09:00:00,2025-01-12T00:00:00,1498.0,1509.0,1496.0,1505.0,810248.39755864,1216964704.180043,1736726398063
upbit,KRW-USDC,2025-01-13,2025-01-13T09:00:00,2025-01-13T00:00:00,1505.0,1540.0,1496.0,1506.0,3858100.5865862,5840389694.430108,1736812798875
upbit,KRW-USDC,2025-01-14,2025-01-14T09:00:00,2025-01-14T00:00:00,1507.0,1513.0,1485.0,1487.0,3193048.99374249,4783595798.037581,1736899195101
