exchange,market,timestamp_utc,price_krw
upbit,KRW-USDT,2026-02-15 02:05:00 UTC,1474.0
bithumb,KRW-USDT,2026-02-15 02:05:00 UTC,1473.0
upbit,KRW-USDT,2026-02-15 02:06:00 UTC,1473.0
bithumb,KRW-USDT,2026-02-15 02:06:00 UTC,1473.0
upbit,KRW-USDT,2026-02-15 02:10:00 UTC,1475.0
bithumb,KRW-USDT,2026-02-15 02:10:00 UTC,1473.0
upbit,KRW-USDT,2026-02-15 02:11:00 UTC,1475.0
bithumb,KRW-USDT,2026-02-15 02:11:00 UTC,1474.0
upbit,KRW-USDT,2026-02-15 02:12:00 UTC,1474.0
bithumb,KRW-USDT,2026-02-15 02:12:00 UTC,1474.0
bithumb,KRW-USDT,2026-02-15 02:13:00 UTC,1473.0
upbit,KRW-USDT,2026-02-15 03:00:00 UTC,1472.0
bithumb,KRW-USDT,2026-02-15 03:00:00 UTC,1473.0
