일시,거래소,유형,마켓구분,페어,통화,가격,달러가치(USD),적용환율(USDC/KRW),원화가치(KRW)
2025-04-16 07:59:20 UTC,DEX,입금,Cashflow,USDC,USD,1.0,40.0,1460.0,58400.0
2025-04-16 07:59:42 UTC,DEX,매도,Perp,ETH,USD,1563.21,788.795766,1460.0,1151641.81836
2025-04-16 08:00:35 UTC,DEX,매수,Perp,ETH,USD,1562.75,788.56365,1460.0,1151302.929
2025-04-16 08:00:47 UTC,DEX,매도,Perp,KAITO,USD,0.69881,198.392159,1460.0,289652.55214
2025-04-16 08:03:42 UTC,DEX,매수,Perp,KAITO,USD,0.69677,197.813003,1460.0,288806.98438000004
2025-04-16 08:04:03 UTC,DEX,매도,Perp,ENA,USD,0.26926,400.335768,1460.0,584490.2212799999
2025-04-16 08:06:26 UTC,DEX,매수,Perp,ENA,USD,0.27037,401.986116,1458.0,586095.757128
2025-04-16 08:06:54 UTC,DEX,매도,Perp,TRUMP,USD,7.8779,192.850992,1458.0,281176.746336
2025-04-16 08:13:51 UTC,DEX,매수,Perp,TRUMP,USD,7.8161,191.338128,1458.0,278970.990624
2025-04-16 08:14:27 UTC,DEX,매수,Perp,TRUMP,USD,7.8178,201.151994,1458.0,293279.607252
2025-04-16 08:25:03 UTC,DEX,매도,Perp,TRUMP,USD,7.8502,201.985646,1458.0,294495.071868
2025-04-16 08:25:20 UTC,DEX,매도,Perp,TRUMP,USD,7.8524,204.476496,1458.0,298126.73116799997
2025-04-16 08:28:29 UTC,DEX,매수,Perp,TRUMP,USD,7.9211,206.265444,1458.0,300735.017352
2025-04-16 08:30:05 UTC,DEX,매도,Perp,TRUMP,USD,7.9068,190.079472,1458.0,277135.870176
2025-04-16 08:50:36 UTC,DEX,매수,Perp,TRUMP,USD,7.9724,191.656496,1458.0,279435.17116800003
2025-04-16 08:50:49 UTC,DEX,매수,Perp,BTC,USD,83839.0,753.71261,1458.0,1098912.98538
2025-04-16 09:59:30 UTC,DEX,매도,Perp,BTC,USD,83585.4,751.432746,1455.5,1093710.3618029999
2025-04-16 10:22:47 UTC,DEX,매수,Perp,BTC,USD,83887.8,709.690788,1453.0,1031180.714964
2025-04-16 10:22:50 UTC,DEX,매수,Perp,BTC,USD,83876.7,5.032602,1453.0,7312.370706
2025-04-16 11:55:34 UTC,DEX,매도,Perp,BTC,USD,84007.8,715.746456,1454.0,1040695.3470239999
2025-04-16 11:55:38 UTC,DEX,매수,Perp,BTC,USD,84013.2,729.234576,1454.0,1060307.073504
2025-04-16 12:51:26 UTC,DEX,매도,Perp,BTC,USD,83713.9,726.636652,1454.0,1056529.692008
2025-04-16 13:45:58 UTC,DEX,매도,Perp,TRUMP,USD,7.9302,169.30977,1454.0,246176.40558
2025-04-16 14:32:52 UTC,DEX,매수,Perp,TRUMP,USD,8.0553,171.980655,1451.5,249629.92073250003
2025-04-16 15:03:09 UTC,DEX,매수,Perp,BTC,USD,84618.4,625.329976,1451.5,907666.4601639999
2025-04-16 21:45:37 UTC,DEX,매도,Perp,BTC,USD,84450.5,624.089195,1451.5,905865.4665425001
2025-04-16 21:45:46 UTC,DEX,매수,Perp,BTC,USD,84454.8,600.473628,1451.5,871587.471042
2025-04-16 22:40:24 UTC,DEX,매도,Perp,BTC,USD,84495.2,600.760872,1449.0,870502.503528
2025-04-16 23:00:29 UTC,DEX,매수,Perp,BTC,USD,84442.0,606.29356,1449.0,878519.36844
2025-04-16 23:23:42 UTC,DEX,매도,Perp,BTC,USD,84269.5,605.05501,1449.0,876724.70949
2025-04-16 23:23:49 UTC,DEX,매도,Perp,TRUMP,USD,7.7297,145.472954,1449.0,210790.31034599998
2025-04-16 23:41:09 UTC,DEX,매수,Perp,TRUMP,USD,7.6881,144.690042,1449.0,209655.870858
